# APL - WS18/19
# Magneto-Optic effects
# 2018-11-22
# Faraday solenoid current (If) is measured for different values of current
# in the big solenoid (Is) where the sample 3 (Carbon disulfide) is placed.
# precision Is = 0.2 mA
# precision If = 0.005 mA (unless specified otherwise)
#
# Is (mA)  If (mT)
2   0.81
4   4.17
6   9.88
8   17.45
# precision 0.05 mA
10  26.6
9   22.5
# precision back to 0.005 mA
7   13.67
5   6.11
3   1.32
1   -1.08
